id type coord corners
57 Polygon "world_deg" "278.5487 -5.124358 278.5501 -5.120757 278.5545 -5.118534 278.5579 -5.118533 278.5615 -5.11992 278.5629 -5.123525 278.5623 -5.125459 278.5554 -5.131017 278.5506 -5.129076"
58 Polygon "world_deg" "278.2522 -5.016611 278.2559 -5.015223 278.2623 -5.022996 278.2575 -5.026873 278.2469 -5.023266"
59 Polygon "world_deg" "278.235 -5.036041 278.2383 -5.030214 278.2386 -5.026328 278.243 -5.02494 278.2444 -5.022999 278.2472 -5.02383 278.248 -5.030499 278.2525 -5.03438 278.25 -5.036047 278.2519 -5.037444 278.2533 -5.041883 278.2531 -5.043264 278.2492 -5.045205 278.238 -5.042981"
60 Polygon "world_deg" "278.3585 -5.078286 278.3621 -5.07773 278.3638 -5.079392 278.3632 -5.084658 278.359 -5.087992 278.3487 -5.092714 278.3479 -5.091889 278.351 -5.086619 278.3565 -5.083008"
61 Polygon "world_deg" "278.4547 -4.952151 278.4555 -4.949112 278.4569 -4.949112 278.4583 -4.95189 278.4625 -4.950222 278.4669 -4.952444 278.4708 -4.959382 278.4703 -4.962982 278.465 -4.964372 278.4605 -4.961317"
62 Polygon "world_deg" "278.4717 -4.98771 278.4692 -4.984377 278.4742 -4.977715 278.4734 -4.974382 278.4745 -4.972162 278.4806 -4.972161 278.4809 -4.977708 278.4792 -4.980211 278.482 -4.982441 278.4834 -4.986046 278.4826 -4.999374 278.4809 -5.001036 278.4778 -5.000761 278.4762 -4.997425 278.4728 -4.996595"
63 Polygon "world_deg" "278.453 -5.075485 278.4516 -5.073549 278.453 -5.069946 278.4544 -5.069946 278.4555 -5.072168 278.4653 -5.075777 278.4681 -5.08216 278.4658 -5.083538"
64 Polygon "world_deg" "278.2249 -5.027706 278.2255 -5.02494 278.2299 -5.023551 278.2341 -5.026052 278.2375 -5.024386 278.2388 -5.025492 278.2377 -5.031314 278.2333 -5.036035 278.2271 -5.032979"
65 Polygon "world_deg" "278.4784 -5.012711 278.4809 -5.009386 278.4862 -5.009662 278.4909 -5.003545 278.4918 -4.996884 278.5057 -5.001319 278.4993 -5.003538 278.4993 -5.015207 278.4943 -5.021039 278.4926 -5.0302 278.4882 -5.029645 278.4865 -5.023812 278.4853 -5.027146 278.4795 -5.027428 278.4834 -5.02021"
66 Polygon "world_deg" "278.3161 -5.098557 278.3192 -5.095785 278.3219 -5.095229 278.3272 -5.099119 278.3311 -5.099391 278.3311 -5.108552 278.3275 -5.112435 278.3242 -5.111324 278.3247 -5.106602 278.32 -5.104657 278.3167 -5.101324"
67 Polygon "world_deg" "278.4232 -5.219387 278.4224 -5.216048 278.419 -5.213543 278.4159 -5.213268 278.4162 -5.210782 278.4182 -5.210227 278.4207 -5.212726 278.4215 -5.209393 278.4265 -5.212726 278.4341 -5.214392 278.4357 -5.213558 278.4374 -5.216052 278.431 -5.222986 278.4249 -5.222709 278.4218 -5.224101"
68 Polygon "world_deg" "278.4566 -4.935223 278.4597 -4.935498 278.4641 -4.940217 278.4641 -4.942711 278.4616 -4.945206 278.4575 -4.94604 278.4552 -4.943818 278.4535 -4.946318 278.4513 -4.946318"
69 Polygon "world_deg" "278.5632 -5.073806 278.5674 -5.072141 278.5687 -5.070196 278.5721 -5.073523 278.5721 -5.076851 278.5699 -5.08129 278.5637 -5.082681 278.5618 -5.082126 278.5607 -5.07991"
70 Polygon "world_deg" "278.2366 -5.115213 278.24 -5.111886 278.2441 -5.111887 278.2466 -5.110221 278.2511 -5.113277 278.2519 -5.116316 278.2466 -5.115204 278.2447 -5.116593 278.245 -5.122709 278.2425 -5.126037 278.2394 -5.123261"
